Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
7/31/21 22:00,Benicia,CA,USA,Sphere,1 hour,Experienced a UFO drive-by until it came down to me!,12/19/21,
7/31/21 21:30,Fremont,CA,USA,Oval,30,Blue lights and sharp maneuvers.,8/16/21,
7/31/21 21:15,El Dorado,CA,USA,Light,15 min,"Unexplained lights in the sky, moving erratically and quickly right and left, up and down",8/16/21,
7/31/21 20:45,Windsor,VA,USA,Circle,Only observed for a few m,"Exceptionally big and bright star/planet-like light briefly appears in SE sky, then vanishes, as though getting shut off.",8/16/21,
7/31/21 18:30,Staton Island,NY,USA,Other,30 Seconds,Black Icosahedron Approximately 10ft in Diameter,3/4/22,Yes
7/31/21 15:00,San Antonio,TX,USA,Circle,2hrs,4 orb white balls hovering in the sky over San Antonio TX.,8/16/21,
7/31/21 14:00,Carlsbad,CA,USA,Other,4 minutes,"I was out with a group of friends during the day in Carlsbad, CA. Its hard to describe on paper, I was siting down at a restaurant an",9/7/21,
7/31/21 10:00,Manahawkin,NJ,USA,Light,1 minute,"Sitting around a backyard campfire, we saw a bright light appear to be lower than an airplane flight path and had a much brighter/white",8/16/21,
7/31/21 03:36,Ukiah,CA,USA,Circle,38 seconds,For a whole month strange lights had kept appearing in the sky almost directly above me for a whole month.,3/4/22,Yes
7/31/21 02:00,Eaton,OH,USA,Triangle,5 minutes,I let my dog out just after 2 a.m and saw 2 bright blueish silver fast flashing triangular objects. One over the other a small distanc,8/16/21,
7/31/21 01:30,South Ozone Park,NY,USA,Light,Looking at the sky,"When I was sitting outside I've seened 6 glowing orange lights coming from JFK airport in the sky,not making any sounds all six of them",8/16/21,
7/30/21 20:30,Denver,CO,USA,Triangle,,Spinning Triangle shaped craft with lights on tips spotted in thunderstorm,12/19/21,
7/30/21 20:00,Tucson,AZ,USA,Other,20+min,"Was taking storm photos, and never saw objects, till reviewing photos I noticed a streek in the sky, not lightning, and then two green",8/16/21,
7/30/21 16:00,Greenfield,MA,USA,Cigar,2 min,"It looked like a long sliver cigar shaped cylinder flying through the air slow with the sun shining off of it, I'm still confused..",8/16/21,
7/30/21 12:51,Millerton,PA,USA,,,MADAR Node 104,8/16/21,
7/29/21 23:30,Brewster,WA,USA,Circle,ongoing,"Bright, white hot light or reflection off the sun, silent, not moving, old or circular shape.",8/16/21,
7/29/21 20:31,Portland,,USA,Other,2 minutes 30 seconds,Dark oval craft,3/4/22,Yes
7/29/21 20:15,Portland,OR,USA,,,MADAR Node 66,8/16/21,
7/29/21 16:45,Horsham (UK/England,,United Kingdom,Sphere,15 seconds,"Daytime small glinting orbs flying in formation in Horsham, UK",8/16/21,
7/28/21 23:27,Sparks,NV,USA,Light,7.2 SEC.,BLUE LIGHT SEEN OVER SPARK NV. 7/28/21,8/16/21,
7/28/21 23:13,Bakersfield,CA,USA,Flash,2 seconds,"Bright Blue light flashed in sky, left small smoke puff. No sound.",8/16/21,
7/28/21 23:00,Los Angeles,CA,USA,Light,10 seconds,"Dense, bright blue light in a long oval shape observed and then faded into a dark cloud over Silver Lake/Glendale area of LA.",8/16/21,
7/28/21 21:15,Nashville,TN,USA,Light,30 seconds,Satellites don't change direction,8/16/21,
7/28/21 10:41,Winthrop,ME,USA,Light,10 seconds,Silent white light.,8/16/21,
7/27/21 23:58,Indianapolis,IN,USA,Fireball,2 mins,First Possible Sighting of UFO: It began to move toward me!,8/16/21,
7/27/21 22:00,Benicia,CA,USA,Sphere,20 minutes,Witnessed another Orb off in the distance,12/19/21,
7/27/21 13:35,Las Vegas,NV,USA,Light,5 min,"Light seems at high altitude, hovering, then proceeding northbound.",8/16/21,
7/27/21 01:00,San Jacinto,CA,USA,Sphere,~1 minute,Large Spherical light above Idyllwild,12/19/21,
7/27/21 00:00,Dover,NH,USA,Triangle,40 min,"Red dots in triangle form, stationary, then move slowly in straight line, changing to bright white light, and disappeared.",8/16/21,
7/27/21 00:00,Dover,NH,USA,Triangle,20 minutes,"Saw triangle dotted reddish lights from my bedroom window, which began to slowly move and change to bright light, then disappeared.",8/16/21,
7/26/21 22:30,Spokane,WA,USA,Diamond,About 45 minutes,"Lots of light activity, one craft, some unexplainable events and a bonus picture from the Blue Moon of 2021",10/8/22,Yes
7/26/21 22:00,Beaumont,KS,USA,Light,15 seconds,Yellowish lights and a string of lights near Beaumont Kansas,8/16/21,
7/26/21 19:30,Phoenixville,PA,USA,Cylinder,1 minute,Tic tac crafts passing each other as on two-lane highway in blue sky with puffy clouds.,8/16/21,
7/26/21 06:46,Windham,OH,USA,,,MADAR Node 55,8/16/21,
7/25/21 20:36,Kittery,ME,USA,Circle,~1hr,"Clear sky with defined vertical split in color, 2 orbs on either side of the split line",3/4/22,Yes
7/25/21 14:00,San Diego,CA,USA,Cylinder,3 minutes,"A white cylinder, silent, not moving, then poof...gone.",8/16/21,
7/25/21 05:40,St. Thomas (Canada),ON,Canada,Light,5 - 10 seconds,Fast moving bright white object.,8/16/21,
7/25/21 03:47,Los Altos,CA,USA,,,MADAR Node 52,8/16/21,
7/25/21 00:02,Norton,MA,USA,,15 - 20 mins,Bright Light Southeastern MA,8/16/21,
7/25/21 00:00,Benicia,CA,USA,Sphere,,Witness another Orb over another neighbors home.,12/19/21,
7/24/21 22:50,Vacaville,CA,USA,Cigar,2 minutes,While driving my son noticed a black cigar shaped object above/over over the moon - i pulled over and we watched it move slowly from to,8/16/21,
7/24/21 16:55,Bothell,WA,USA,Unknown,20 sec,Shiny object moving quickly across the sky N-S Mill Creek / N Bothell WA,8/16/21,
7/24/21 16:50,Brentwood,NH,USA,Disk,Unsure,Some kind of aircraft with an oval of light to accompany it.,8/16/21,
7/24/21 14:40,San Jose,CA,USA,Sphere,Under 10 seconds,"Spherical-shaped UFO sighting in Almaden Quicksilver Park, San Jose, CA",8/16/21,
7/24/21 02:34,Wheeling,IL,USA,Light,2 hrs. Approx.,Unable to notice any shape. White light with hovering then fast jolty movement. There was only 1 light. Starless night with a full moon,8/16/21,
7/24/21 00:45,Morrilton,AR,USA,Cigar,3 min,"Mysterious, cigar-shaped aluminum floating object (with no wings or propellers) drifted directly over our car right in front of us.",8/16/21,
7/23/21 23:00,Summerville,SC,USA,Fireball,1-1.5 minutes,"My sons were in the yard. They saw this gold- illuminated, flickering but not flashing, as if made of fire. No other lights....pure gol",8/16/21,
7/23/21 22:03,Garden City,NY,USA,Disk,1 minute,"Black isosceles trapezoid shaped object moving across the sky, above the meadowbrook parkway, southbound. Red blinking lights on the bo",8/16/21,
7/23/21 22:00,Eastport,ME,Canada,Other,3 hours over three nights,"Five spoked object like a wheel with multiple bright, red, green, white, blue, & yellow flashing lights along the spoke structures.",8/16/21,
7/23/21 21:15,Bonita Springs,FL,USA,Triangle,5 min,"Heard a sound not far above us. Looked up, saw a huge ship hovering above almost still, bright light from the center, just watching",4/22/22,
7/23/21 19:00,Benicia,CA,USA,Disk,,"Over 100 ships/crafts came and scattered all over the sky and myself, wife and 3 neighbors watched them for an hour and 10 mins.",12/19/21,
7/23/21 17:27,Allentown,PA,USA,,,MADAR Node 177,8/16/21,
7/23/21 05:30,Denver,CO,USA,Unknown,1 mile,Grasses laid down in weird patterns for over a mile,8/16/21,
7/23/21 00:00,Singatse Peak,NV,USA,Teardrop,3 hours,"Urgent: recorded on public fire camera, footage available 12 hours only.",8/16/21,
7/23/21,Kansas City,KS,USA,Circle,30 seconds,Saw 2 firey orbs moving iand hovering n unison,8/16/21,
7/22/21 21:30,Point Pleasant Beach,NJ,USA,Circle,2 minutes,"Green circular object over Point Pleasant Beach, NJ",8/16/21,
7/22/21 21:15,Boulder,CO,USA,Other,2-3 minutes,"I saw a very brightly lit, white object, roughly the shape of an airplane, but with no visible wings or rotor, moving southward.",3/4/22,Yes
7/22/21 21:05,Casco,ME,USA,Teardrop,~10 Seconds,"Round Yellow UFO over Sebago Lake, fish abduction? The next night, USO.",8/16/21,
7/22/21 08:00,Punta Gorda,FL,USA,Cylinder,4 hours,Multiple Tic tac shape flying objects in a few hours.,8/16/21,
7/22/21 01:55,Seattle,WA,USA,Other,1 minute,"Saw like a helicopter type thing going low over I-5 but I really couldn't tell if it was a helicopter, that is why I'm saying a helicop",8/16/21,
7/21/21 23:28,Conyers,GA,USA,Chevron,4seconds,"Saw a very bright flash going from South to North that lasted for seconds. Right before this, a plane was circling to land at Atlanta-H",8/16/21,
